,baa_aaa,t10y2y,dff,cpi_yoy,indpro_yoy,dgs10,rvol,gz_spread,ebp,inv,episode,inv_E1,inv_E2,inv_E3,inv_E4,inv_E5,inv_E6
1986-01,1.3899999999999988,1.0514285714285716,8.144838709677419,3.9735099337748325,2.042568302210057,9.193809523809524,14.355125357972527,1.328334663563506,0.1904753865265687,0,0,0,0,0,0,0,0
1986-02,1.4399999999999995,0.7368421052631579,7.86,3.19849482596426,1.0483274768402273,8.704210526315789,11.640916242100044,1.5497237045603347,-0.2104199823489718,0,0,0,0,0,0,0,0
1986-03,1.5,0.564,7.479032258064516,2.1535580524344455,0.17716115650512343,7.778499999999999,12.054274138725251,1.9991487519450328,0.5602812262669692,0,0,0,0,0,0,0,0
1986-04,1.4000000000000004,0.604090909090909,6.988,1.5887850467289688,0.5395837861830843,7.29909090909091,15.878907640153074,1.9184641059649592,0.5107933350297991,0,0,0,0,0,0,0,0
1986-05,1.1999999999999993,0.6423809523809524,6.852903225806451,1.679104477611948,0.541901122652777,7.70952380952381,13.84454330224593,1.5866962357352212,0.0055262054232383,0,0,0,0,0,0,0,0
1986-06,1.209999999999999,0.6147619047619047,6.916666666666667,1.7674418604651132,0.18540518149086083,7.7995238095238095,14.584793195345567,1.9003727235973955,0.0743107650621599,0,0,0,0,0,0,0,0
1986-07,1.2799999999999994,0.6368181818181818,6.557096774193549,1.671309192200554,1.3194082831557319,7.303181818181818,16.1952229808786,2.0692244812858496,0.6913113940082307,0,0,0,0,0,0,0,0
1986-08,1.459999999999999,0.8395238095238095,6.170645161290322,1.575532900834098,0.8247799581394988,7.1657142857142855,12.711243423007849,2.231424460367828,0.654203815119129,0,0,0,0,0,0,0,0
1986-09,1.3099999999999987,1.1014285714285714,5.890333333333333,1.757631822386685,0.7412926803496367,7.447619047619048,19.892788867878547,1.902236023663172,0.3013512947048296,0,0,0,0,0,0,0,0
1986-10,1.3800000000000008,1.1472727272727272,5.845806451612903,1.5668202764977046,1.4862965758343893,7.426363636363636,14.316328186503068,1.9137912097627143,0.4831587830984347,0,0,0,0,0,0,0,0
1986-11,1.3900000000000006,0.9738888888888889,6.039333333333333,1.2844036697247763,1.5357187083427482,7.250555555555555,12.00454764414875,2.028667375395258,0.5927513971399194,0,0,0,0,0,0,0,0
1986-12,1.4800000000000004,0.8409090909090909,6.907741935483871,1.187214611872145,1.5210709724897686,7.112727272727272,14.799740707913786,1.930246589778661,0.617946413965716,0,0,0,0,0,0,0,0
1987-01,1.3600000000000012,0.8584999999999999,6.426451612903226,1.364877161055511,0.6100656345238598,7.0845,14.501097057911052,1.8012622410758348,0.4772241572016633,0,0,0,0,0,0,0,0
1987-02,1.2699999999999996,0.8526315789473684,6.101071428571428,1.9143117593436676,2.6567648418983847,7.2505263157894735,14.375780352314266,1.9024488648189863,0.5444877322317254,0,0,0,0,0,0,0,0
1987-03,1.25,0.8240909090909091,6.128387096774193,2.8414298808432603,3.54296110984762,7.248636363636364,12.687818831651935,1.8239814018725848,0.4328620080374408,0,0,0,0,0,0,0,0
1987-04,1.1899999999999995,0.9985714285714286,6.365333333333334,3.679852805887762,4.0493229629387395,8.022857142857143,20.431259566415967,1.7103216658632594,-0.279036487719013,0,0,0,0,0,0,0,0
1987-05,1.1799999999999997,0.8515,6.852903225806451,3.669724770642202,4.552760573702974,8.613,19.89577345471349,1.68388721748476,0.1675763258677469,0,0,0,0,0,0,0,0
1987-06,1.1999999999999993,0.8290909090909092,6.725,3.7477148080438782,5.519439713663821,8.402272727272727,14.612963380791035,1.639050457817809,0.1533906093389367,0,0,0,0,0,0,0,0
1987-07,1.1899999999999995,1.0045454545454546,6.58225806451613,3.926940639269394,5.549483162984625,8.44681818181818,9.824002383166224,1.594127177127132,0.2289085290042729,0,0,0,0,0,0,0,0
1987-08,1.1300000000000008,1.0076190476190476,6.732258064516128,4.2883211678832245,6.539368743960372,8.76047619047619,11.580940342278936,1.5160015599025936,0.2262163898023075,0,0,0,0,0,0,0,0
1987-09,1.1300000000000008,1.0780952380952382,7.216333333333334,4.2727272727272725,6.686739906867412,9.421904761904763,16.774690967903307,1.4993881575531094,0.2199904258286993,0,0,0,0,0,0,0,0
1987-10,1.0999999999999996,1.1223809523809525,7.288709677419354,4.355716878402904,7.649118005085254,9.520000000000001,53.23291758095808,1.6241249060666865,-0.6920482532192211,0,0,0,0,0,0,0,0
1987-11,1.2200000000000006,1.167894736842105,6.693333333333333,4.528985507246386,7.742526773047431,8.860526315789473,73.60769618230952,1.6043764806399006,0.2166392202295191,0,0,0,0,0,0,0,0
1987-12,1.1799999999999997,1.13,6.769677419354839,4.332129963898912,7.328838312501662,8.987727272727271,30.956120552618508,1.5739394552917203,-0.0355591617737178,0,0,0,0,0,0,0,0
